                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.93811,                0.51937,                0.82327,                0.90567,                0.78457,                0.86623,                0.60593,                0.82461,                0.44821,                0.81586,              0.0048025,              0.0048025,              0.0048025
                    108,                0.95674,                0.53444,                 0.8239,                0.90647,                0.78413,                0.86628,                0.60564,                  0.825,                0.44803,                 0.8159,               0.004753,               0.004753,               0.004753
                    109,                0.94076,                0.52214,                0.82225,                0.90664,                0.78446,                0.86669,                0.60553,                0.82475,                0.44785,                0.81583,              0.0047035,              0.0047035,              0.0047035
                    110,                0.94218,                0.52333,                 0.8245,                0.90564,                0.78507,                0.86624,                0.60584,                0.82471,                0.44739,                 0.8158,               0.004654,               0.004654,               0.004654
                    111,                0.94817,                0.52272,                0.82429,                0.90463,                0.78531,                0.86604,                 0.6058,                0.82452,                0.44732,                0.81572,              0.0046045,              0.0046045,              0.0046045
                    112,                0.95065,                0.52675,                0.82208,                0.89426,                0.79239,                0.86589,                0.60614,                0.82389,                0.44675,                0.81569,               0.004555,               0.004555,               0.004555
                    113,                0.93435,                0.51043,                0.82315,                0.89279,                0.79263,                0.86587,                0.60634,                0.82386,                0.44694,                0.81566,              0.0045055,              0.0045055,              0.0045055
                    114,                0.93706,                0.51392,                0.82083,                0.89523,                0.79192,                0.86678,                0.60684,                 0.8232,                0.44603,                0.81558,               0.004456,               0.004456,               0.004456
                    115,                0.92715,                0.51838,                0.82309,                0.89462,                0.79145,                0.86659,                0.60691,                0.82313,                0.44617,                0.81568,              0.0044065,              0.0044065,              0.0044065
                    116,                0.94096,                0.51972,                 0.8235,                0.89495,                0.79334,                0.86688,                0.60728,                0.82239,                0.44591,                0.81558,               0.004357,               0.004357,               0.004357
                    117,                0.93026,                0.50896,                0.82221,                0.90133,                0.78744,                0.86673,                0.60754,                0.82199,                0.44614,                0.81555,              0.0043075,              0.0043075,              0.0043075
                    118,                0.92838,                 0.5122,                 0.8232,                0.90104,                0.78767,                0.86667,                0.60778,                0.82216,                0.44613,                0.81564,               0.004258,               0.004258,               0.004258
                    119,                0.91978,                0.50859,                0.81951,                0.90071,                0.78848,                 0.8673,                0.60793,                0.82187,                 0.4455,                0.81559,              0.0042085,              0.0042085,              0.0042085
                    120,                0.92566,                0.50418,                0.82309,                0.90194,                0.78641,                0.86736,                0.60839,                0.82154,                0.44536,                0.81556,               0.004159,               0.004159,               0.004159
                    121,                0.92883,                0.51408,                0.82269,                0.90042,                0.78806,                0.86695,                0.60876,                0.82106,                0.44522,                0.81549,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.9317,                0.50899,                0.82018,                0.89944,                0.78795,                0.86729,                0.60897,                0.82054,                0.44501,                0.81543,                0.00406,                0.00406,                0.00406
                    123,                0.92919,                0.50513,                0.81808,                0.90117,                0.78602,                0.86724,                0.60934,                0.82032,                0.44512,                0.81544,              0.0040105,              0.0040105,              0.0040105
                    124,                0.93059,                0.51089,                0.81958,                0.90098,                0.78655,                0.86736,                0.60977,                0.81981,                0.44446,                0.81538,               0.003961,               0.003961,               0.003961
                    125,                0.92878,                0.50795,                 0.8219,                0.88539,                0.80113,                0.86814,                0.60996,                0.81976,                0.44414,                0.81533,              0.0039115,              0.0039115,              0.0039115
                    126,                0.91648,                0.50702,                0.82001,                  0.901,                0.78883,                0.86751,                0.61018,                0.81973,                0.44467,                0.81534,               0.003862,               0.003862,               0.003862
                    127,                0.90966,                0.49771,                0.81962,                0.89246,                0.79759,                0.86804,                0.61058,                0.81884,                 0.4438,                 0.8153,              0.0038125,              0.0038125,              0.0038125
                    128,                0.91573,                 0.4987,                0.82084,                0.90135,                 0.7872,                0.86755,                0.61092,                0.81852,                0.44341,                0.81517,               0.003763,               0.003763,               0.003763
                    129,                0.90758,                0.49674,                0.82044,                0.88614,                0.80143,                0.86789,                0.61112,                0.81805,                0.44283,                0.81525,              0.0037135,              0.0037135,              0.0037135
                    130,                0.91105,                0.49981,                0.82114,                0.88469,                0.80277,                0.86791,                0.61127,                0.81764,                0.44308,                0.81524,               0.003664,               0.003664,               0.003664
                    131,                0.92023,                0.49608,                0.82058,                0.88523,                0.80302,                0.86814,                0.61144,                0.81726,                 0.4426,                0.81517,              0.0036145,              0.0036145,              0.0036145
                    132,                 0.9145,                0.50345,                0.81908,                0.88311,                0.80397,                0.86816,                0.61138,                0.81704,                0.44286,                 0.8151,               0.003565,               0.003565,               0.003565
                    133,                0.90063,                0.48881,                0.81876,                0.88567,                0.80279,                0.86809,                0.61169,                0.81691,                0.44277,                0.81512,              0.0035155,              0.0035155,              0.0035155
                    134,                0.89033,                0.48283,                0.81803,                0.88634,                  0.803,                 0.8678,                0.61158,                 0.8167,                 0.4426,                0.81504,               0.003466,               0.003466,               0.003466
                    135,                 0.9055,                  0.493,                0.81923,                0.88638,                0.80279,                0.86787,                0.61178,                0.81687,                0.44208,                0.81507,              0.0034165,              0.0034165,              0.0034165
                    136,                0.91346,                0.49489,                0.81833,                0.88549,                0.80373,                0.86828,                0.61192,                 0.8162,                 0.4423,                0.81495,               0.003367,               0.003367,               0.003367
                    137,                 0.9166,                0.49687,                0.81879,                0.88642,                0.80326,                0.86869,                0.61206,                0.81588,                0.44198,                0.81502,              0.0033175,              0.0033175,              0.0033175
                    138,                0.90139,                0.49105,                0.81914,                0.88781,                0.80184,                0.86842,                0.61238,                0.81603,                0.44158,                0.81495,               0.003268,               0.003268,               0.003268
                    139,                  0.904,                0.48735,                0.81794,                0.88891,                0.80208,                0.86883,                0.61274,                0.81596,                0.44081,                0.81498,              0.0032185,              0.0032185,              0.0032185
                    140,                0.90355,                0.48794,                0.81831,                0.88747,                0.80282,                0.86915,                0.61299,                0.81541,                0.44042,                0.81487,               0.003169,               0.003169,               0.003169
                    141,                0.89776,                0.49017,                0.82078,                0.88914,                0.80321,                0.86987,                0.61311,                0.81545,                0.44096,                0.81491,              0.0031195,              0.0031195,              0.0031195
                    142,                0.89333,                0.48093,                0.81601,                0.88782,                 0.8042,                 0.8698,                0.61331,                0.81547,                0.44095,                0.81483,                0.00307,                0.00307,                0.00307
                    143,                0.88911,                0.48225,                0.81707,                0.88642,                0.80586,                0.87025,                0.61362,                0.81577,                0.44025,                0.81484,              0.0030205,              0.0030205,              0.0030205
                    144,                0.88614,                0.47846,                0.81807,                0.88691,                0.80586,                0.87056,                0.61379,                0.81465,                0.44031,                0.81475,               0.002971,               0.002971,               0.002971
                    145,                 0.8914,                0.48937,                0.81444,                0.88727,                0.80493,                0.87071,                0.61381,                0.81541,                0.44064,                0.81478,              0.0029215,              0.0029215,              0.0029215
                    146,                0.88897,                0.48405,                0.82006,                0.88702,                0.80475,                 0.8709,                0.61402,                 0.8146,                0.44091,                0.81478,               0.002872,               0.002872,               0.002872
                    147,                 0.8847,                0.47876,                0.81498,                0.88624,                0.80515,                0.87065,                0.61425,                0.81445,                0.44017,                0.81463,              0.0028225,              0.0028225,              0.0028225
                    148,                0.88878,                0.47466,                 0.8157,                0.88676,                0.80562,                 0.8712,                0.61469,                0.81417,                0.44065,                0.81467,               0.002773,               0.002773,               0.002773
                    149,                0.88716,                0.47987,                0.81716,                0.88646,                0.80581,                 0.8714,                0.61459,                0.81413,                0.44061,                0.81465,              0.0027235,              0.0027235,              0.0027235
                    150,                0.88801,                0.48126,                0.81473,                 0.8871,                0.80542,                 0.8713,                0.61494,                0.81374,                0.44064,                0.81461,               0.002674,               0.002674,               0.002674
                    151,                0.89149,                0.47823,                0.81585,                 0.8905,                0.80326,                 0.8709,                0.61459,                0.81369,                0.44056,                0.81459,              0.0026245,              0.0026245,              0.0026245
                    152,                0.89197,                  0.478,                0.81502,                0.88967,                0.80375,                0.87102,                0.61542,                0.81309,                0.44046,                 0.8146,               0.002575,               0.002575,               0.002575
                    153,                0.88322,                0.47328,                0.81641,                0.89029,                 0.8031,                0.87125,                0.61541,                0.81275,                0.44021,                 0.8146,              0.0025255,              0.0025255,              0.0025255
                    154,                0.87378,                0.46757,                 0.8139,                0.89122,                0.80305,                0.87168,                0.61586,                0.81267,                0.44018,                0.81452,               0.002476,               0.002476,               0.002476
                    155,                0.86983,                0.46844,                0.81445,                0.89211,                0.80264,                0.87143,                0.61651,                0.81203,                0.43977,                0.81444,              0.0024265,              0.0024265,              0.0024265
                    156,                0.87698,                0.46592,                0.81596,                  0.892,                0.80208,                0.87127,                0.61631,                0.81197,                0.43999,                0.81446,               0.002377,               0.002377,               0.002377
                    157,                0.86685,                0.46199,                0.81475,                0.89093,                0.80279,                0.87126,                0.61709,                0.81139,                0.43929,                0.81439,              0.0023275,              0.0023275,              0.0023275
                    158,                0.86295,                0.46409,                 0.8141,                0.89165,                0.80302,                0.87155,                0.61679,                0.81118,                0.43996,                0.81432,               0.002278,               0.002278,               0.002278
