                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 0.9478,                0.53935,                0.82682,                 1.2866,                0.65064,                0.82301,                0.88408,                0.81377,                0.87607,                0.63211,                0.79555,                0.42938,                0.81317,                 1.0649,                0.51884,                0.80735,               0.007327,               0.007327,               0.007327
                     57,                 0.9355,                0.53922,                0.82742,                 1.2742,                0.64806,                0.82327,                0.88924,                0.81291,                0.87652,                0.63348,                0.79609,                0.43032,                0.81309,                 1.0648,                0.51559,                0.80758,              0.0072775,              0.0072775,              0.0072775
                     58,                0.93707,                0.53527,                0.82932,                 1.2707,                0.64272,                0.82244,                0.88941,                  0.811,                0.87679,                0.63438,                0.79163,                0.42852,                0.81265,                 1.0608,                 0.5119,                0.80736,               0.007228,               0.007228,               0.007228
                     59,                0.93101,                0.54308,                0.82664,                 1.2675,                0.66385,                 0.8211,                0.88096,                0.81593,                0.87751,                0.63418,                0.79282,                0.42798,                0.81214,                 1.0617,                0.51398,                0.80667,              0.0071785,              0.0071785,              0.0071785
                     60,                0.93833,                 0.5369,                0.82449,                 1.2766,                0.64366,                0.82191,                0.88554,                0.81727,                0.87713,                0.63554,                0.79046,                0.42642,                0.81176,                 1.0585,                0.51059,                0.80625,               0.007129,               0.007129,               0.007129
                     61,                 0.9283,                0.53069,                0.82481,                  1.263,                0.63631,                0.82043,                 0.8838,                0.81878,                0.87894,                0.63635,                0.78882,                0.42389,                0.81166,                 1.0548,                0.51009,                0.80616,              0.0070795,              0.0070795,              0.0070795
                     62,                0.93015,                0.53004,                0.82372,                 1.2679,                0.63853,                0.81895,                0.88666,                0.81505,                0.87818,                0.63624,                 0.7879,                0.42281,                0.81168,                 1.0543,                 0.5106,                0.80597,                0.00703,                0.00703,                0.00703
                     63,                0.92141,                0.52647,                0.82367,                 1.2573,                0.63505,                0.81759,                0.88252,                0.81985,                0.87887,                0.63775,                0.78677,                0.42153,                0.81154,                 1.0534,                0.50894,                0.80594,              0.0069805,              0.0069805,              0.0069805
                     64,                0.93331,                0.53129,                0.82327,                 1.2716,                0.64517,                 0.8171,                0.87763,                0.82394,                0.87956,                0.63876,                0.78503,                0.42016,                0.81154,                 1.0505,                0.50708,                0.80584,               0.006931,               0.006931,               0.006931
                     65,                 0.9286,                0.52444,                  0.825,                 1.2684,                0.63677,                0.82147,                0.88181,                0.82234,                0.87992,                0.63924,                0.78333,                0.41915,                0.81161,                 1.0495,                0.50485,                0.80564,              0.0068815,              0.0068815,              0.0068815
                     66,                0.93688,                0.53538,                0.82799,                 1.2742,                0.64835,                0.82281,                0.88231,                0.82129,                0.88026,                0.64028,                0.78203,                0.41767,                0.81142,                 1.0483,                0.50507,                0.80542,               0.006832,               0.006832,               0.006832
                     67,                0.92288,                 0.5223,                0.82485,                 1.2571,                0.63547,                0.81976,                0.88456,                0.81761,                0.88087,                0.64106,                0.78106,                0.41708,                0.81125,                 1.0468,                0.50395,                0.80517,              0.0067825,              0.0067825,              0.0067825
